header,timestamp,totaal_verbruik_dagtarief_kwh,totaal_verbruik_nachttarief_kwh,totaal_injectie_dagtarief_kwh,totale_injectie_nachttarief_kwh,Tarief_indicatie,gemmiddeld_verbruik_kw,timestamp_piekvermogen,piekvermogen_huidige_maand,actief_verbruik_kw,acitef_injectie_kw,instant_vermogen_L1+P_kw,instant_vermogen_l1_injectie_kw,spanning_V,stroom_A,timestamp_gas,gas_verbruik_m³,Totale_injectie_nachttarief_kwh,actief_injectie_kw
"FLU5\253770234_A",2023-09-02T13:31:27Z,000#35.889,000447.197,001821.987,0,0002,00.012,2023-09-01T16:00:00Z,04.898,00.568,0,00.568,00.000,241.6,002.66,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:28Z,00033.889,000447.197,001821.987,0,0002,00.012,2023-09-01T16:00:00Z,04.898,00.563,0,00.563,00.000,241.1,0,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:29Z,000335.889,000447.197,001821.987,0,0002,00.013,2023-09-01T16:00:00Z,04.898,00.564,0,00.564,00.000,241.2,0,0,0,000712.647,00.000
"FLU5\25377034_A",2023-09-02T13:31:30Z,000335.889,000447.197,001821.987,0,0002,00.014,2023-09-01T16:00:00Z,04.898,00.562,0,00.562,00.000,240.9,0,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253670234_A",2023-09-02T13:31:31Z,000335.889,000447.197,001821.987,0,0002,0,2023-09-01T16:00:00Z,04.898,00.565,0,00.565,00.000,241.3,002.65,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:32Z,000335.889,000447.198,001821.987,0,0,00.015,2023-09-01T16:00:00Z,04.898,00.562,0,00.562,0,0,002.64,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:33Z,000335.889,000447.198,001821.987,0,0002,00.016,2023-09-01T16:00:00Z,04.898,00.564,0,00.564,00.000,241.7,0,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:34Z,000335.889,000447.198,001821.987,0,0002,00.016,2023-09-01T16:00:00Z,04.898,00.070,0,00.070,00.000,0,001.33,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:35Z,000335.889,000447.198,001821.987,0,0002,0,2023-09-01T16:00:00Z,04.898,00.021,0,00.021,00.000,242.1,001.10,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:36Z,000335.889,000447.198,001821.987,0,0002,00.016,2023-09-01T16:00:00Z,04.898,00.021,0,00.021,00.000,241.5,001.09,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:37Z,0,000447.198,001821.987,0,0002,0,2023-09-01T16:00:00Z,04.898,00.025,0,00.025,00.000,242.1,"001,11",2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:38Z,000335.889,000447.198,001821.987,0,0,00.016,2023-09-01T16:00:00Z,04.898,00.023,0,00.023,00.000,241.6,001.08,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:39Z,00335.889,000447.198,001821.987,0,0002,00.016,2023-09-01T16:00:00Z,04.898,0,0,00.021,00.000,241.8,001.11,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:40Z,0,000447.198,001821.987,0,0002,00.016,2023-09-01T16:00:00Z,04.898,0,0,0,0,0,0,0,0,000712.647
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLU5\253770234_A",2023-09-02T13:31:41Z,0,000447.198,001821.987,0,0002,00.016,2023-09-01T16:00:00Z,04.898,0,0,0,0,0,0,0,0,000712.647
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-02T13:25:04Z,00817.313
"FLU5\253770234_A",2023-09-02T13:31:42Z,000335.889,000447.198,001821.987,0,0002,00.016,2023-09-01T16:00:00Z,04.898,00.020,0,00.020,00.000,241.4,001.10,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253760234_A",2023-09-02T13:31:43Z,000335.889,000447.198,001821.987,0,0002,00.016,2023-09-01T16:00:00Z,04.898,00.021,0,00.021,00.000,242.1,001.11,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FHU5\253770234_A",2023-09-02T13:31:44Z,000335.889,000447.198,001821.987,0,0002,00.016,2023-09-01T16:00:00Z,04.898,00.020,0,00.020,00.000,241.4,001,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:45Z,000335&889,000447.198,001821.987,0,0002,0,2023-09-01T16:00:00Z,04.898,0,0,0,0,0,0,0,0,000712.647
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLU5\53770234_A",2023-09-02T13:31:46Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.019,0,00.019,00.000,241.3,0,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:47Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.018,0,00.018,00.000,242.0,001.09,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:48Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.018,0,00.018,00.000,241.5,0,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:49Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.017,0,00.017,00.000,241.9,001.08,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\25#770234_A",2023-09-02T13:31:50Z,000335.889,000447.198,001821.987,0,0002,0,2023-09-01T16:00:00Z,04.898,00.017,0,00.017,00.000,241.6,0,0,0,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:51Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.016,0,00.016,00.000,241.6,001.10,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU525370234_A",2023-09-02T13:31:52Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.015,0,00.015,00.000,241.2,001.08,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:53Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.015,0,00.017,00.000,241.7,001.09,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:54Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.014,0,00.014,00.000,240.9,00!,0,0,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:55Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.016,0,00.016,00.000,241.8,001.09,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:56Z,000335.889,0,001821.987,0,0002,"00,017",2023-09-01T16:00:00Z,04.898,00.014,0,00.014,00.000,241.1,001.09,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:57Z,000335.889,000447.198,001821.987,0,0002,00.017,2023-09-01T16:00:00Z,04.898,00.021,0,00.021,00.000,241.7,001.10,0,0,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:58Z,000335.889,000447.198,001821.987,0,0002,00.017,0,0,00.019,0,00.019,00.000,241.7,001.09,2023-09-02T13:31:57Z,00817.313,000712.647,00.000
